Abbreviations,ActiveTime,Currentname,HeadQuarters,LogoDates,Logos,Names,OwnerDate,Owners,Popularevents,SocialMedia,Televisionshows,Website
UEW,2003 - 2006,Urban Empire Wrestling,"Philadelphia, Pennsylvania, USA",Urban Empire Wrestling,/site/main/img/ligen/small/899.gif,Urban Empire Wrestling (2003 - 2006),,"Marcus Jordan, (2003 - 2006)",,,,
"NWA Upstate, NWA New York, UPW",2004 - today,Upstate Pro Wrestling,"Rochester, New York, USA"," (2013 - today), (10.2009 - 2012), (2004 - 09.2009)","/site/main/img/ligen/small/273__2013-.gif,/site/main/img/ligen/small/273__200910-2012.gif,/site/main/img/ligen/small/273__2004-200909.gif","Upstate Pro Wrestling (2013 - today),National Wrestling Alliance New York  (2009 - 2013),National Wrestling Alliance Upstate (2004 - 2009)",,"Hellcat, (2004 - today)","Anniversary Anarchy,Upstate 8 Tag Team Tournament","http://upstateprowrestling.wix.com/upstateprowrestling,https://www.facebook.com/upstateprowrestling,https://www.youtube.com/user/UpstateProWrestling,https://twitter.com/UPWROC,https://www.instagram.com/upw_wrestling/",,
Unsanctioned Pro,2018 - today,Unsanctioned Pro,"Columbus, Ohio, USA",Unsanctioned Pro,/site/main/img/ligen/small/2152.gif,Unsanctioned Pro (2018 - today),,Derek Grantonic (2018 - today),,"https://www.facebook.com/unsanctionedpro/,https://twitter.com/unsanctionedpro?lang=en,http://www.unsanctionedpro.com/index.html,https://www.instagram.com/unsanctionedpro/,https://www.youtube.com/channel/UCUzTM58FKxtTDtr17Cta76A",,
UPW (2013-2016),2013 - 2016,Uproar Pro Wrestling,"New Port Richey, Florida, USA",Uproar Pro Wrestling,/site/main/img/ligen/small/1302.gif,Uproar Pro Wrestling (2013 - 2016),,,,"http://www.uproarprowrestling.com/index.html,https://twitter.com/uproarwrestling,https://www.youtube.com/user/UproarProWrestling",,
"UWF06, TCBW, 3DW",2006 - 2012,Universal Wrestling Federation 2006,"Ardmore, Oklahoma, USA",,,"Universal Wrestling Federation 2006 (10.07.2011 - 15.04.2012),The Country's Best Wrestling (08.11.2008 - 22.08.2009),3rd Degree Wrestling (25.04.2008 - 17.09.2008),Universal Wrestling Federation 2006 (26.08.2006 - 12.04.2008)",,"Jerry Bostic, (2011 - 2012),Earl Kennedy, (2008 - 2010),Thomas Hood & Steve Wylie (2008),Jerry Bostic, (2006 - 2008)",,,,
UWE ,2008 - today,Universal Wrestling Entertainment,"Tlalnepantla, Estado de Mexico, Mexiko",Universal Wrestling Entertainment,/site/main/img/ligen/small/561.gif,Universal Wrestling Entertainment (2008 - today),,"Hector Guzman, (2008 - today)",,"http://luchitas-aull.blogspot.de/,https://www.facebook.com/pages/UWE-AULL-ARENA-LOPEZ-MATEOS/186208664753337,https://twitter.com/almuweaull",,
UWA,1996,Universal Wrestling Association ,"Alabama, USA",,,Universal Wrestling Association  (1996),,William Mitchell & Betty Mitchell (1996),,,,
UWE,2003 - today,Universyl Wrestling Enterprises,"Michigan, USA","Universyl Wrestling Enterprises, (2003 - 03.2013)","/site/main/img/ligen/small/100.gif,/site/main/img/ligen/small/100__2003-201303.gif",Universyl Wrestling Enterprises (2003 - today),,"Eric Freedom, (2003 - today)",,"https://www.facebook.com/UWECW,https://www.youtube.com/user/uwecw",,
ULW,2021 - today,Upper Limit Wrestling,"New Jersey, USA",Upper Limit Wrestling,/site/main/img/ligen/small/3198.gif,Upper Limit Wrestling (2021 - today),,,,"http://upperlimitwrestling.com,https://twitter.com/upperlimitpro,https://www.facebook.com/upperlimitwrestling,https://www.instagram.com/upperlimitwrestling,https://www.youtube.com/upperlimitwrestling",,
UWS,1989 - 1994,Universal Wrestling Superstars,"New York, New York, USA",Universal Wrestling Superstars,/site/main/img/ligen/small/1502.gif,Universal Wrestling Superstars (1989 - 1994),,,,,,
"UWA, LLI",1975 - 1995,Universal Wrestling Association,"Naucalpan de Juarez, Estado de Mexico, Mexiko",Universal Wrestling Association,/site/main/img/ligen/small/68.gif,"Universal Wrestling Association (1975 - 1995),Lucha Libre Internacional (1975 - 1995)",,"Benjamin Mora,, ,Carlos Maynez, & ,Ray Mendoza, (1987 - 1995 ),Carlos Maynez,, ,Ray Mendoza,, ,Francisco Jose Flores, & ,Benjamin Mora, (1975 - 1987)",Aniversario,,,
UWA,1998 - 2001,Universal Wrestling Alliance,"Aurora, Illinois, USA",Universal Wrestling Alliance,/site/main/img/ligen/small/3229.gif,Universal Wrestling Alliance (1998 - 2001),,Mark Schwenk (1998 - 2001),,,,
Universal Wrestling,1974 - 1975,Universal Wrestling,"Ohio, USA",,,Universal Wrestling (1974 - 1975),,,,,,
UIW,2009 - today,Universal Independent Wrestling,"Villa Rica, Georgia, USA",Universal Independent Wrestling,/site/main/img/ligen/small/1347.gif,Universal Independent Wrestling (2009 - today),,Stan Robinson (2009 - today),,"https://www.facebook.com/UnivesalIndependentWrestling,https://www.instagram.com/universalindependentwrestling/,https://www.youtube.com/channel/UC6VhS6qljtqqYdgYP8ZeyWQ",,
UCW,1997 - 2001,Universal Championship Wrestling  ,"Lorain, Ohio, USA",,,Universal Championship Wrestling   (1997 - 2001),,Rod Destiny (1997 - 2001),,,,
UCW,2005 - today,Universal Championship Wrestling,"Hartford, Kentucky, USA",Universal Championship Wrestling,/site/main/img/ligen/small/423.gif,Universal Championship Wrestling (2005 - today),,"Shaun Maddox, & ,Shayne Maddox, (2005 - today)",,"http://www.ucwevents.com/,https://www.facebook.com/UCWPRO,https://twitter.com/UCWPRO",,
UWF,2001 - 2003,United Wrestling Federation   ,"Massachusetts, USA",United Wrestling Federation   ,/site/main/img/ligen/small/2860.gif,United Wrestling Federation    (2001 - 2003),,"Bobby Cruise, (2001 - 2003)",,,,
UCW,2004 - 2014,Universal Championship Wrestling ,"McDonough, Georgia, USA",Universal Championship Wrestling ,/site/main/img/ligen/small/1344.gif,Universal Championship Wrestling  (2004 - 2014),,Ron Gossett (2004 - 2014),,"http://www.ucwtv.com/,https://www.facebook.com/UNIVERSALCHAMPIONSHIPWRESTLING,https://twitter.com/ucwtv,http://www.youtube.com/user/UCWXTREMETV",,
USA,1994 - 1996,Universal Superstars Of America,"New York, USA",,,Universal Superstars Of America (1994 - 1996),,Tommy Dee (1994 - 1996),,,,
UWF,2000 - 2009,United Wrestling Federation  ,"New Jersey, USA",,,United Wrestling Federation   (2000 - 2009),,"Rick Silver, (2000 - 2009)",,,,
UWN,2013 - today,United Wrestling Network,"California, USA",United Wrestling Network,/site/main/img/ligen/small/2870.gif,United Wrestling Network (2013 - today),,David Marquez (2013 - today),,"https://www.unitedwrestlingtv.com/,https://www.facebook.com/unitedwrestlingnetwork/,https://twitter.com/UnitedWrestling,https://www.instagram.com/unitedwrestlingnetwork/,https://www.youtube.com/UnitedWrestlingNetwork",,
UPW,2015,Unity Pro Wrestling,"California, USA",Unity Pro Wrestling,/site/main/img/ligen/small/1589.gif,Unity Pro Wrestling (2015),,,,"http://www.unityprowrestling.com/,https://www.facebook.com/UnityProWrestling",,
UWE,2009 - today,United Wrestling Entertainment,"Tahlequah, Oklahoma, USA",United Wrestling Entertainment,/site/main/img/ligen/small/2043.gif,United Wrestling Entertainment (2009 - today),,,,"https://www.facebook.com/pages/United-Wrestling-Entertainment/1684082955209728,https://twitter.com/uwe_09,https://www.instagram.com/uwewrestling09/,https://www.youtube.com/channel/UC1gjUWDddcycN2Ww4AOzidg",,
UWA,1993 - 2007,United Wrestling Alliance,"Texas, USA",,,United Wrestling Alliance (1993 - 2007),,,,,,
UWC,1998 - today,United Wrestling Coalition,"Wrightstown, New Jersey, USA",United Wrestling Coalition,/site/main/img/ligen/small/1449.gif,United Wrestling Coalition (1998 - today),,Dave Thomas & Lois Thomas (1998 - today),,"https://www.facebook.com/UWCPROWRESTLING,https://www.facebook.com/UWCChampionshipWrestling,https://www.facebook.com/UWCFanCave,https://twitter.com/UWCFamily,https://www.youtube.com/channel/UCy4XHjO3vDYG0f7NkdwiQJQ",,
UWF,2011 - 2015,United Wrestling Federation ,"Georgetown, Kentucky, USA",United Wrestling Federation ,/site/main/img/ligen/small/969.gif,United Wrestling Federation  (2011 - 2015),,,,https://www.facebook.com/UnitedWrestlingFed,,
UWF,2006 - 2008,United Wrestling Federation,"South Carolina, USA",United Wrestling Federation,/site/main/img/ligen/small/159.gif,United Wrestling Federation (2006 - 2008),,"Dave Hebner,, ,Earl Hebner, & ,Hermie Sadler, (2006 - 2008)",,,,
UWWA,1996 - 2001,United World Wrestling Alliance,"Mercerville, New Jersey, USA",,,United World Wrestling Alliance (),,Hunter Q. Robbins III (1996 - 2001),,,,
USWL,1993 - 1999,United States Wrestling League,"Butler, Pennsylvania, USA",United States Wrestling League,/site/main/img/ligen/small/2727.gif,United States Wrestling League (1993 - 1999),,Frank Szabo (1993 - 1999),,,,
USWF,1995 - 1996,United States Wrestling Federation,"New York, USA",United States Wrestling Federation,/site/main/img/ligen/small/3014.gif,United States Wrestling Federation (1995 - 1996),,Bob Bailey (1995 - 1996),,,,
USWO,2001 - 2013,United States Wrestling Organization,"Nashville, Tennessee, USA",United States Wrestling Organization,/site/main/img/ligen/small/216.gif,United States Wrestling Organization (2001 - 2013),,"Tony Falk, (2001 - 2013)",,,,
,2011 - today,United States Wrestling Alliance,"Jacksonville, Florida, USA",United States Wrestling Alliance,/site/main/img/ligen/small/1732.gif,United States Wrestling Alliance (2011 - today),,,,"http://uswa98.wix.com/uswajax,https://twitter.com/USWAJax,https://www.facebook.com/USWAJax/,https://www.youtube.com/user/USWAJax",,
USW,2010,United States Wrestling,"Pasadena, Maryland, USA",,,United States Wrestling (2010),,"Brian Hardy, (2010)",,,,
UPWA,2005 - today,United Pro Wrestling Association,"Wilmington, North Carolina, USA ",United Pro Wrestling Association,/site/main/img/ligen/small/2016.gif,United Pro Wrestling Association (2005 - today),,Donald Brower (2005 - today),,"http://www.theupwa.com/,https://www.facebook.com/pg/UPWAProWrestling/,http://www.youtube.com/user/UPWAAdmin,http://twitter.com/UPWA_Pro,https://www.instagram.com/upwanation/",,
UEW,2021 - today,United Elite Wrestling,"Virginia, USA",United Elite Wrestling,/site/main/img/ligen/small/3236.gif,United Elite Wrestling (2021 - today),,,,"https://twitter.com/UnitedEliteRVA,https://www.facebook.com/UNITETHEELITE,https://www.youtube.com/channel/UCST8N562bWyDR21v-ffzE7Q",,
USCW,2004 - today,United States Championship Wrestling,"Florida, USA",United States Championship Wrestling,/site/main/img/ligen/small/1357.gif,United States Championship Wrestling (2004 - today),,"Mr. B (2010 - today),Roland Starling (2004 - 2010)",,"http://uscw.org/,https://www.facebook.com/USCW.MrB/",,
UCW,1992 - 1993,United Championship Wrestling,"Winnipeg, Manitoba, Canada",,,United Championship Wrestling (1992 - 1993),,Walter Shefchyk (1992 - 1993),,,,
USCW,1994 - 1999,United States Championship Wrestling ,"Pennsylvania, USA",,,United States Championship Wrestling  (1994 - 1999),,Sal Conte (1994 - 1998),,,,
UPW,2017 - today,United Pro Wrestling ,"Bowling Green, Kentucky, USA",United Pro Wrestling ,/site/main/img/ligen/small/2071.gif,United Pro Wrestling  (2017 - today),,,,"http://unitedprowrestling.webs.com,http://www.facebook.com/unitedprowrestlingky,http://www.twitter.com/UPWKentucky,https://www.youtube.com/channel/UCnI4iSbzRA3ann3eaSUEaGA",,
UIPW,2009 - today,Union Independent Pro Wrestling,"Los Angeles, California, USA",Union Independent Pro Wrestling,/site/main/img/ligen/small/1272.gif,Union Independent Pro Wrestling (2009 - today),,,,"https://www.facebook.com/uipw.la,https://twitter.com/LuchalibreUIPW",,
IWP,,Independent Wrestling Promotions,"Madero, Tamaulipas, Mexiko",Independent Wrestling Promotions,/site/main/img/ligen/small/1403.gif,Independent Wrestling Promotions ( - today),,,,,,
IWR,2002 - 2008,Independent Wrestling Revolution,"Detroit, Michigan, USA",Independent Wrestling Revolution,/site/main/img/ligen/small/354.gif,Independent Wrestling Revolution (2002 - 2008),,"Bubba MacKenzie, & ,Josh Movado, (2002 - 2008)","Brawl At The Hall,Revolucha",http://www.myspace.com/iwrwrestling,,
UVLL,2009 - today,Union Veracruzana de Lucha Libre,"Ciudad y Puerto de Veracruz, Veracruz, Mexiko",Union Veracruzana de Lucha Libre,/site/main/img/ligen/small/1571.gif,Union Veracruzana de Lucha Libre (2009 - today),,,,"http://unionveracruzanadeluchalibre.mex.tl/,https://www.facebook.com/UnionVeracruzanaDeLuchaLibre,https://www.youtube.com/channel/UCGtwzO2iO5fbEmitGm5wpng",,
"IWI, NLW",2006 - 2019,Independent Wrestling International,"Hopkins, Minnesota, USA",Independent Wrestling International,/site/main/img/ligen/small/2263.gif,"Independent Wrestling International (2012 - 2019),Northern Lights Wrestling (2006 - 2011)",,"Ian Xavier, (2006 - 2019)",,https://twitter.com/iwipro,,
"UIPW, UNION",2003 - today,Union Of Independent Professional Wrestlers,"Toronto, Ontario, Canada",Union Of Independent Professional Wrestlers,/site/main/img/ligen/small/571.gif,Union Of Independent Professional Wrestlers (2003 - today),,"Anthony Kingdom James, (2003 - today)",,"http://www.wrestlersunion.ca/,https://www.youtube.com/channel/UC7E-uiXyOE3lEcjZiUkT9tg",,
IWM,2004 - 2007,Independent Wrestling Manitoba,"Winnipeg, Manitoba, Canada",Independent Wrestling Manitoba,/site/main/img/ligen/small/1207.gif,Independent Wrestling Manitoba (2004 - 2007),,"TJ Bratt, (2004 - 2007)",,,,
